特征ID,词汇
4664,uoknor
4665,uoregon
4666,up
4667,update
4668,updated
4669,upenn
4670,upgrade
4671,upon
4672,upper
4673,uq
4674,urartu
4675,ursa
4676,us
4677,usa
4678,usage
4679,usc
4680,use
4681,used
4682,useful
4683,useless
4684,usenet
4685,user
4686,users
4687,uses
4688,using
4689,usl
4690,usr
4691,usual
4692,usually
4693,ut
4694,utah
4695,utcsri
4696,utexas
4697,utilities
4698,utility
4699,utk
4700,utnut
4701,utoronto
4702,utzoo
4703,uu
4704,uucp
4705,uug
4706,uunet
4707,uvaarpa
4708,uvic
4709,uw
4710,uwaterloo
4711,uwm
4712,uwo
4713,ux1
4714,uxa
4715,uy
4716,v2
4717,v6
4718,va
4719,valid
4720,valley
4721,valuable
4722,value
4723,values
4724,valve
4725,van
4726,vancouver
4727,variable
4728,variety
4729,various
4730,vary
4731,vast
4732,vax
4733,ve
4734,veal
4735,vehicle
4736,vehicles
4737,vela
4738,velocity
4739,vendor
4740,vendors
4741,venus
4742,verse
4743,verses
4744,version
4745,versions
4746,vertical
4747,very
4748,vesa
4749,vga
4750,vi
4751,via
4752,vice
4753,victim
4754,victims
4755,victory
4756,video
4757,view
4758,viewer
4759,viewers
4760,viewing
4761,views
4762,viking
4763,village
4764,villages
4765,violation
4766,violence
4767,violent
4768,virginia
4769,virtual
4770,virtually
4771,virus
4772,visible
4773,vision
4774,visit
4775,visitors
4776,visual
4777,visualization
4778,vitamin
4779,vlb
4780,vm
4781,vms
4782,vnet
4783,voice
4784,void
4785,vol
4786,voltage
4787,volume
4788,vote
4789,votes
4790,vram
4791,vs
4792,vt
4793,vw
4794,w0
4795,w1
4796,w7
4797,wa
4798,waco
4799,waikato
4800,wait
4801,waiting
4802,walk
4803,walker
4804,wall
4805,walter
4806,wam
4807,want
4808,wanted
4809,wants
4810,war
4811,warm
4812,warning
4813,warrant
4814,warranty
4815,warren
4816,wars
4817,warwick
4818,was
4819,washington
4820,wasn
4821,waste
4822,watch
4823,watched
4824,watching
4825,water
4826,watserv2
4827,watson
4828,wave
4829,way
4830,wayne
4831,ways
4832,we
4833,weak
4834,weapon
4835,weapons
4836,wear
4837,wearing
4838,weather
4839,weaver
4840,wednesday
4841,week
4842,weekend
4843,weeks
4844,weight
4845,weird
4846,welcome
4847,well
4848,went
4849,were
4850,weren
4851,wesleyan
4852,west
4853,western
4854,wetware
4855,what
4856,whatever
4857,wheel
4858,wheels
4859,when
4860,whenever
4861,where
4862,whereas
4863,whether
4864,which
4865,while
4866,white
4867,who
4868,whoever
4869,whole
4870,whom
4871,whose
4872,why
4873,wide
4874,widely
4875,widget
4876,widgets
4877,width
4878,wife
4879,wild
4880,will
4881,william
4882,williams
4883,willing
4884,wilson
4885,win
4886,wind
4887,window
4888,windows
4889,wing
4890,wings
4891,winken
4892,winner
4893,winners
4894,winning
4895,winnipeg
4896,wins
4897,winter
4898,wire
4899,wires
4900,wiretap
4901,wiring
4902,wisc
4903,wisdom
4904,wise
4905,wish
4906,with
4907,within
4908,without
4909,witness
4910,witnesses
4911,wm
4912,wolverine
4913,woman
4914,women
4915,won
4916,wonder
4917,wonderful
4918,wondering
4919,wood
4920,word
4921,words
4922,work
4923,worked
4924,workers
4925,working
4926,works
4927,workstation
4928,workstations
4929,world
4930,worried
4931,worry
4932,worse
4933,worship
4934,worst
4935,worth
4936,would
4937,wouldn
4938,wounded
4939,wpd
4940,wpi
4941,wright
4942,write
4943,writer
4944,writes
4945,writing
4946,writings
4947,written
4948,wrong
4949,wrote
4950,wt
4951,wuarchive
4952,wupost
4953,wustl
4954,ww
4955,x11
4956,x11r4
4957,x11r5
4958,x6
4959,xdm
4960,xfree86
4961,xlib
4962,xm
4963,xmu
4964,xref
4965,xt
4966,xterm
4967,xv
4968,xview
4969,ya
4970,yale
4971,ye
4972,yeah
4973,year
4974,years
4975,yes
4976,yesterday
4977,yet
4978,york
4979,yorku
4980,you
4981,young
4982,your
4983,yours
4984,yourself
4985,ysu
4986,yugoslavia
4987,yuma
4988,z5
4989,za
4990,zaphod
4991,zealand
4992,zero
4993,zeus
4994,zionist
4995,zip
4996,zone
4997,zoo
4998,zuma
4999,zv
